year,year_ending,police_region,lga_name,incidents,rate_per_100k
2024,December,1 North West Metro,BANYULE,7590,5702.17011683
2024,December,1 North West Metro,BRIMBANK,14119,7124.608799554
2024,December,1 North West Metro,DAREBIN,13982,8771.785831693
2024,December,1 North West Metro,HOBSONS BAY,5973,6293.377882117
2024,December,1 North West Metro,HUME,16427,6074.756225679
2024,December,1 North West Metro,MARIBYRNONG,9509,10128.071364748
2024,December,1 North West Metro,MELBOURNE,32840,16965.339213921
2024,December,1 North West Metro,MELTON,11471,5340.165706887
2024,December,1 North West Metro,MOONEE VALLEY,7905,6052.052945278
2024,December,1 North West Metro,NILLUMBIK,1726,2727.551704081
2024,December,1 North West Metro,WHITTLESEA,12929,5144.657059339
2024,December,1 North West Metro,WYNDHAM,17819,5294.884239492
2024,December,1 North West Metro,YARRA,12449,12391.909626005
2024,December,2 Eastern,BOROONDARA,7136,4007.548987477
2024,December,2 Eastern,KNOX,8265,5070.906025618
2024,December,2 Eastern,MANNINGHAM,4144,3142.910274424
2024,December,2 Eastern,MAROONDAH,6567,5527.159693141
2024,December,2 Eastern,MONASH,11636,5535.956049738
2024,December,2 Eastern,WHITEHORSE,8650,4753.65109663
2024,December,2 Eastern,YARRA RANGES,5749,3602.861275811
2024,December,3 Southern Metro,BAYSIDE,4382,4079.610321099
2024,December,3 Southern Metro,CARDINIA,6427,4940.708414204
2024,December,3 Southern Metro,CASEY,20421,5071.471642477
2024,December,3 Southern Metro,FRANKSTON,12892,8932.686902869
2024,December,3 Southern Metro,GLEN EIRA,6519,4057.642231006
2024,December,3 Southern Metro,GREATER DANDENONG,16171,9704.403771428
2024,December,3 Southern Metro,MORNINGTON PENINSULA,9299,5445.899518515
2024,December,3 Southern Metro,PORT PHILLIP,11735,10375.514070461
2024,December,3 Southern Metro,STONNINGTON,10341,8914.411046547
2023,December,1 North West Metro,BANYULE,5848,4512.276045123
2023,December,1 North West Metro,BRIMBANK,12961,6611.203493058
2023,December,1 North West Metro,DAREBIN,10562,6784.298863717
2023,December,1 North West Metro,HOBSONS BAY,4532,4834.752181613
2023,December,1 North West Metro,HUME,13293,5058.912179751
2023,December,1 North West Metro,MARIBYRNONG,7654,8341.14339269
2023,December,1 North West Metro,MELBOURNE,27182,15322.780671492
2023,December,1 North West Metro,MELTON,9262,4494.589217256
2023,December,1 North West Metro,MOONEE VALLEY,6127,4844.01435732
2023,December,1 North West Metro,NILLUMBIK,1182,1868.361153263
2023,December,1 North West Metro,WHITTLESEA,9588,3913.006215591
2023,December,1 North West Metro,WYNDHAM,14215,4386.167911703
2023,December,1 North West Metro,YARRA,10216,10483.53993925
2023,December,2 Eastern,BOROONDARA,6126,3509.857508723
2023,December,2 Eastern,KNOX,7304,4515.163878689
2023,December,2 Eastern,MANNINGHAM,3648,2816.68391062
2023,December,2 Eastern,MAROONDAH,5436,4628.983088373
2023,December,2 Eastern,MONASH,10204,5012.772646885
2023,December,2 Eastern,WHITEHORSE,7387,4135.155257251
2023,December,2 Eastern,YARRA RANGES,4818,3036.031608
2023,December,3 Southern Metro,BAYSIDE,4360,4181.371796839
2023,December,3 Southern Metro,CARDINIA,4963,3909.105229994
2023,December,3 Southern Metro,CASEY,17009,4337.813368698
2023,December,3 Southern Metro,FRANKSTON,10654,7459.426154902
2023,December,3 Southern Metro,GLEN EIRA,6065,3867.072183222
2023,December,3 Southern Metro,GREATER DANDENONG,14223,8683.574289343
2023,December,3 Southern Metro,MORNINGTON PENINSULA,7250,4258.618562878
2023,December,3 Southern Metro,PORT PHILLIP,9838,8983.244304433
2023,December,3 Southern Metro,STONNINGTON,8630,7751.380967351
2022,December,1 North West Metro,BANYULE,5361,4207.114661728
2022,December,1 North West Metro,BRIMBANK,12116,6264.995449657
2022,December,1 North West Metro,DAREBIN,9275,6158.494073902
2022,December,1 North West Metro,HOBSONS BAY,4660,5072.716189149
2022,December,1 North West Metro,HUME,12662,5001.14542108
2022,December,1 North West Metro,MARIBYRNONG,6819,7783.80229439
2022,December,1 North West Metro,MELBOURNE,24680,15393.443440946
2022,December,1 North West Metro,MELTON,8514,4404.89432703
2022,December,1 North West Metro,MOONEE VALLEY,5813,4721.448354844
2022,December,1 North West Metro,NILLUMBIK,1177,1866.298798085
2022,December,1 North West Metro,WHITTLESEA,8905,3755.118219808
2022,December,1 North West Metro,WYNDHAM,13322,4305.780903561
2022,December,1 North West Metro,YARRA,9089,9837.431812278
2022,December,2 Eastern,BOROONDARA,5588,3294.189775514
2022,December,2 Eastern,KNOX,6407,4015.694238134
2022,December,2 Eastern,MANNINGHAM,2847,2249.348186774
2022,December,2 Eastern,MAROONDAH,5231,4518.871102895
2022,December,2 Eastern,MONASH,8697,4458.148153844
2022,December,2 Eastern,WHITEHORSE,5803,3361.972573534
2022,December,2 Eastern,YARRA RANGES,4719,2996.818380994
2022,December,3 Southern Metro,BAYSIDE,3738,3656.067526726
2022,December,3 Southern Metro,CARDINIA,4412,3581.721207004
2022,December,3 Southern Metro,CASEY,14942,3941.398666329
2022,December,3 Southern Metro,FRANKSTON,9156,6486.210780598
2022,December,3 Southern Metro,GLEN EIRA,5379,3542.918115713
2022,December,3 Southern Metro,GREATER DANDENONG,12620,7922.457845242
2022,December,3 Southern Metro,MORNINGTON PENINSULA,6631,3906.724090189
2022,December,3 Southern Metro,PORT PHILLIP,9530,9155.010759299
2022,December,3 Southern Metro,STONNINGTON,8442,7924.974653599
2021,December,1 North West Metro,BANYULE,5404,4242.75732119
2021,December,1 North West Metro,BRIMBANK,12633,6424.724483932
2021,December,1 North West Metro,DAREBIN,9539,6346.808963645
2021,December,1 North West Metro,HOBSONS BAY,4549,4930.256754853
2021,December,1 North West Metro,HUME,12536,5076.947999352
2021,December,1 North West Metro,MARIBYRNONG,6997,8099.785842449
2021,December,1 North West Metro,MELBOURNE,24615,16076.676898962
2021,December,1 North West Metro,MELTON,8906,4911.054007257
2021,December,1 North West Metro,MOONEE VALLEY,6073,4939.406262708
2021,December,1 North West Metro,NILLUMBIK,1373,2163.908589441
2021,December,1 North West Metro,WHITTLESEA,9351,4033.541674754
2021,December,1 North West Metro,WYNDHAM,12158,4102.969067433
2021,December,1 North West Metro,YARRA,9255,10112.43321205
2021,December,2 Eastern,BOROONDARA,5544,3265.229196238
2021,December,2 Eastern,KNOX,7047,4391.174033063
2021,December,2 Eastern,MANNINGHAM,2982,2370.033619189
2021,December,2 Eastern,MAROONDAH,5308,4572.905449063
2021,December,2 Eastern,MONASH,8518,4415.91970678
2021,December,2 Eastern,WHITEHORSE,5688,3324.818648912
2021,December,2 Eastern,YARRA RANGES,5119,3251.789786623
2021,December,3 Southern Metro,BAYSIDE,3322,3246.423266359
2021,December,3 Southern Metro,CARDINIA,4673,3908.07289271
2021,December,3 Southern Metro,CASEY,14324,3875.981577993
2021,December,3 Southern Metro,FRANKSTON,8343,5924.416292677
2021,December,3 Southern Metro,GLEN EIRA,5258,3490.487128082
2021,December,3 Southern Metro,GREATER DANDENONG,11643,7272.329793879
2021,December,3 Southern Metro,MORNINGTON PENINSULA,6419,3766.134710162
2021,December,3 Southern Metro,PORT PHILLIP,9411,9098.203754906
2021,December,3 Southern Metro,STONNINGTON,8055,7585.460024484
2020,December,1 North West Metro,BANYULE,6706,5146.821802999
2020,December,1 North West Metro,BRIMBANK,15350,7516.661524976
2020,December,1 North West Metro,DAREBIN,12008,7645.680521597
2020,December,1 North West Metro,HOBSONS BAY,4486,4712.53138361
2020,December,1 North West Metro,HUME,16126,6618.700311521
2020,December,1 North West Metro,MARIBYRNONG,7330,8197.454651189
2020,December,1 North West Metro,MELBOURNE,26737,15673.343533288
2020,December,1 North West Metro,MELTON,10088,5812.198241591
2020,December,1 North West Metro,MOONEE VALLEY,6460,5095.199785465
2020,December,1 North West Metro,NILLUMBIK,1630,2534.125182675
2020,December,1 North West Metro,WHITTLESEA,12128,5249.307479224
2020,December,1 North West Metro,WYNDHAM,13196,4593.23614998
2020,December,1 North West Metro,YARRA,11374,11766.774947756
2020,December,2 Eastern,BOROONDARA,6246,3511.454673226
2020,December,2 Eastern,KNOX,8727,5346.05064873
2020,December,2 Eastern,MANNINGHAM,3425,2676.053036637
2020,December,2 Eastern,MAROONDAH,5750,4860.729532102
2020,December,2 Eastern,MONASH,9856,4908.586540233
2020,December,2 Eastern,WHITEHORSE,7206,4075.930178626
2020,December,2 Eastern,YARRA RANGES,6332,3985.498124323
2020,December,3 Southern Metro,BAYSIDE,4093,3897.427107734
2020,December,3 Southern Metro,CARDINIA,5724,4913.093858633
2020,December,3 Southern Metro,CASEY,17339,4763.854163805
2020,December,3 Southern Metro,FRANKSTON,10794,7591.197755132
2020,December,3 Southern Metro,GLEN EIRA,6266,4051.572522243
2020,December,3 Southern Metro,GREATER DANDENONG,14960,9031.198686371
2020,December,3 Southern Metro,MORNINGTON PENINSULA,8093,4755.385284336
2020,December,3 Southern Metro,PORT PHILLIP,10266,9284.280210538
2020,December,3 Southern Metro,STONNINGTON,9055,8041.026551816
2019,December,1 North West Metro,BANYULE,7047,5395.5760411
2019,December,1 North West Metro,BRIMBANK,15135,7319.691832994
2019,December,1 North West Metro,DAREBIN,11422,7261.376495569
2019,December,1 North West Metro,HOBSONS BAY,4999,5217.182575299
2019,December,1 North West Metro,HUME,15862,6739.176615541
2019,December,1 North West Metro,MARIBYRNONG,6920,7735.300693047
2019,December,1 North West Metro,MELBOURNE,26965,15960.154363369
2019,December,1 North West Metro,MELTON,9073,5481.016099314
2019,December,1 North West Metro,MOONEE VALLEY,6487,5131.876651425
2019,December,1 North West Metro,NILLUMBIK,1655,2567.324398114
2019,December,1 North West Metro,WHITTLESEA,12073,5340.334052868
2019,December,1 North West Metro,WYNDHAM,13217,4837.830022584
2019,December,1 North West Metro,YARRA,11063,11459.023864766
2019,December,2 Eastern,BOROONDARA,6177,3438.103560555
2019,December,2 Eastern,KNOX,8767,5368.383667671
2019,December,2 Eastern,MANNINGHAM,3819,3010.096710884
2019,December,2 Eastern,MAROONDAH,6000,5086.254397491
2019,December,2 Eastern,MONASH,9078,4544.407845336
2019,December,2 Eastern,WHITEHORSE,7270,4133.923189774
2019,December,2 Eastern,YARRA RANGES,6159,3879.807238023
2019,December,3 Southern Metro,BAYSIDE,3990,3795.373259265
2019,December,3 Southern Metro,CARDINIA,5116,4567.775575436
2019,December,3 Southern Metro,CASEY,16785,4768.384629807
2019,December,3 Southern Metro,FRANKSTON,11034,7772.064520673
2019,December,3 Southern Metro,GLEN EIRA,5689,3695.691716038
2019,December,3 Southern Metro,GREATER DANDENONG,14676,8825.227305527
2019,December,3 Southern Metro,MORNINGTON PENINSULA,8656,5134.227789838
2019,December,3 Southern Metro,PORT PHILLIP,9795,8762.591472688
2019,December,3 Southern Metro,STONNINGTON,9056,7957.820738137
2018,December,1 North West Metro,BANYULE,7160,5522.773728258
2018,December,1 North West Metro,BRIMBANK,14550,7029.766592423
2018,December,1 North West Metro,DAREBIN,11612,7391.329255329
2018,December,1 North West Metro,HOBSONS BAY,4816,5061.48187073
2018,December,1 North West Metro,HUME,15534,6887.897625994
2018,December,1 North West Metro,MARIBYRNONG,6961,7832.701331143
2018,December,1 North West Metro,MELBOURNE,26888,16459.051315169
2018,December,1 North West Metro,MELTON,8045,5123.583770117
2018,December,1 North West Metro,MOONEE VALLEY,6692,5332.823320344
2018,December,1 North West Metro,NILLUMBIK,1647,2551.826717486
2018,December,1 North West Metro,WHITTLESEA,11778,5339.051046913
2018,December,1 North West Metro,WYNDHAM,11295,4394.770631493
2018,December,1 North West Metro,YARRA,11306,11838.247612665
2018,December,2 Eastern,BOROONDARA,5613,3129.006722933
2018,December,2 Eastern,KNOX,8062,4962.482841825
2018,December,2 Eastern,MANNINGHAM,3345,2674.053289205
2018,December,2 Eastern,MAROONDAH,5910,5045.891141942
2018,December,2 Eastern,MONASH,8215,4148.780364628
2018,December,2 Eastern,WHITEHORSE,6260,3588.811621787
2018,December,2 Eastern,YARRA RANGES,5540,3510.350464773
2018,December,3 Southern Metro,BAYSIDE,3679,3516.435200673
2018,December,3 Southern Metro,CARDINIA,4500,4207.770349245
2018,December,3 Southern Metro,CASEY,15964,4721.861532682
2018,December,3 Southern Metro,FRANKSTON,11301,7984.823112958
2018,December,3 Southern Metro,GLEN EIRA,4980,3267.952411263
2018,December,3 Southern Metro,GREATER DANDENONG,14061,8527.244610206
2018,December,3 Southern Metro,MORNINGTON PENINSULA,8137,4885.209288922
2018,December,3 Southern Metro,PORT PHILLIP,9954,8989.190214299
2018,December,3 Southern Metro,STONNINGTON,8331,7350.449973531
2017,December,1 North West Metro,BANYULE,7419,5766.360951345
2017,December,1 North West Metro,BRIMBANK,13233,6420.171165751
2017,December,1 North West Metro,DAREBIN,11451,7315.764254911
2017,December,1 North West Metro,HOBSONS BAY,4915,5198.692658367
2017,December,1 North West Metro,HUME,15040,6954.945456395
2017,December,1 North West Metro,MARIBYRNONG,6463,7334.316840672
2017,December,1 North West Metro,MELBOURNE,26513,17000.307779117
2017,December,1 North West Metro,MELTON,8049,5412.511515624
2017,December,1 North West Metro,MOONEE VALLEY,6682,5374.795891281
2017,December,1 North West Metro,NILLUMBIK,1852,2875.15136461
2017,December,1 North West Metro,WHITTLESEA,11335,5286.205963829
2017,December,1 North West Metro,WYNDHAM,10850,4491.395975544
2017,December,1 North West Metro,YARRA,10558,11172.132101626
2017,December,2 Eastern,BOROONDARA,5756,3221.942345368
2017,December,2 Eastern,KNOX,8426,5216.529948924
2017,December,2 Eastern,MANNINGHAM,3697,2978.425148639
2017,December,2 Eastern,MAROONDAH,6306,5425.776309336
2017,December,2 Eastern,MONASH,8162,4171.394110372
2017,December,2 Eastern,WHITEHORSE,6508,3775.467582494
2017,December,2 Eastern,YARRA RANGES,5715,3647.189462399
2017,December,3 Southern Metro,BAYSIDE,3818,3683.017411855
2017,December,3 Southern Metro,CARDINIA,4338,4242.210878366
2017,December,3 Southern Metro,CASEY,15099,4646.618207333
2017,December,3 Southern Metro,FRANKSTON,10703,7612.32139174
2017,December,3 Southern Metro,GLEN EIRA,5350,3550.052421335
2017,December,3 Southern Metro,GREATER DANDENONG,13640,8372.00166949
2017,December,3 Southern Metro,MORNINGTON PENINSULA,8460,5152.629912052
2017,December,3 Southern Metro,PORT PHILLIP,9680,8838.326196324
2017,December,3 Southern Metro,STONNINGTON,7911,7054.952110867
