year,lga_name,total_incidents,avg_crime_rate
2024,MELBOURNE,32840,16965.34
2024,CASEY,20421,5071.47
2024,WYNDHAM,17819,5294.88
2024,HUME,16427,6074.76
2024,GREATER DANDENONG,16171,9704.4
2024,BRIMBANK,14119,7124.61
2024,DAREBIN,13982,8771.79
2024,WHITTLESEA,12929,5144.66
2024,FRANKSTON,12892,8932.69
2024,YARRA,12449,12391.91
2024,PORT PHILLIP,11735,10375.51
2024,MONASH,11636,5535.96
2024,MELTON,11471,5340.17
2024,STONNINGTON,10341,8914.41
2024,MARIBYRNONG,9509,10128.07
2024,MORNINGTON PENINSULA,9299,5445.9
2024,WHITEHORSE,8650,4753.65
2024,KNOX,8265,5070.91
2024,MOONEE VALLEY,7905,6052.05
2024,BANYULE,7590,5702.17
2024,BOROONDARA,7136,4007.55
2024,MAROONDAH,6567,5527.16
2024,GLEN EIRA,6519,4057.64
2024,CARDINIA,6427,4940.71
2024,HOBSONS BAY,5973,6293.38
2024,YARRA RANGES,5749,3602.86
2024,BAYSIDE,4382,4079.61
2024,MANNINGHAM,4144,3142.91
2024,NILLUMBIK,1726,2727.55
2023,MELBOURNE,27182,15322.78
2023,CASEY,17009,4337.81
2023,GREATER DANDENONG,14223,8683.57
2023,WYNDHAM,14215,4386.17
2023,HUME,13293,5058.91
2023,BRIMBANK,12961,6611.2
2023,FRANKSTON,10654,7459.43
2023,DAREBIN,10562,6784.3
2023,YARRA,10216,10483.54
2023,MONASH,10204,5012.77
2023,PORT PHILLIP,9838,8983.24
2023,WHITTLESEA,9588,3913.01
2023,MELTON,9262,4494.59
2023,STONNINGTON,8630,7751.38
2023,MARIBYRNONG,7654,8341.14
2023,WHITEHORSE,7387,4135.16
2023,KNOX,7304,4515.16
2023,MORNINGTON PENINSULA,7250,4258.62
2023,MOONEE VALLEY,6127,4844.01
2023,BOROONDARA,6126,3509.86
2023,GLEN EIRA,6065,3867.07
2023,BANYULE,5848,4512.28
2023,MAROONDAH,5436,4628.98
2023,CARDINIA,4963,3909.11
2023,YARRA RANGES,4818,3036.03
2023,HOBSONS BAY,4532,4834.75
2023,BAYSIDE,4360,4181.37
2023,MANNINGHAM,3648,2816.68
2023,NILLUMBIK,1182,1868.36
2022,MELBOURNE,24680,15393.44
2022,CASEY,14942,3941.4
2022,WYNDHAM,13322,4305.78
2022,HUME,12662,5001.15
2022,GREATER DANDENONG,12620,7922.46
2022,BRIMBANK,12116,6265.0
2022,PORT PHILLIP,9530,9155.01
2022,DAREBIN,9275,6158.49
2022,FRANKSTON,9156,6486.21
2022,YARRA,9089,9837.43
2022,WHITTLESEA,8905,3755.12
2022,MONASH,8697,4458.15
2022,MELTON,8514,4404.89
2022,STONNINGTON,8442,7924.97
2022,MARIBYRNONG,6819,7783.8
2022,MORNINGTON PENINSULA,6631,3906.72
2022,KNOX,6407,4015.69
2022,MOONEE VALLEY,5813,4721.45
2022,WHITEHORSE,5803,3361.97
2022,BOROONDARA,5588,3294.19
2022,GLEN EIRA,5379,3542.92
2022,BANYULE,5361,4207.11
2022,MAROONDAH,5231,4518.87
2022,YARRA RANGES,4719,2996.82
2022,HOBSONS BAY,4660,5072.72
2022,CARDINIA,4412,3581.72
2022,BAYSIDE,3738,3656.07
2022,MANNINGHAM,2847,2249.35
2022,NILLUMBIK,1177,1866.3
2021,MELBOURNE,24615,16076.68
2021,CASEY,14324,3875.98
2021,BRIMBANK,12633,6424.72
2021,HUME,12536,5076.95
2021,WYNDHAM,12158,4102.97
2021,GREATER DANDENONG,11643,7272.33
2021,DAREBIN,9539,6346.81
2021,PORT PHILLIP,9411,9098.2
2021,WHITTLESEA,9351,4033.54
2021,YARRA,9255,10112.43
2021,MELTON,8906,4911.05
2021,MONASH,8518,4415.92
2021,FRANKSTON,8343,5924.42
2021,STONNINGTON,8055,7585.46
2021,KNOX,7047,4391.17
