lga_name,incidents_2015,incidents_2024,change,pct_change
YARRA RANGES,5442,5749,307,0.0
YARRA,10057,12449,2392,0.0
WYNDHAM,11314,17819,6505,0.0
WHITTLESEA,10379,12929,2550,0.0
WHITEHORSE,5768,8650,2882,0.0
STONNINGTON,7791,10341,2550,0.0
PORT PHILLIP,9792,11735,1943,0.0
NILLUMBIK,1944,1726,-218,0.0
MORNINGTON PENINSULA,8135,9299,1164,0.0
MOONEE VALLEY,6976,7905,929,0.0
MONASH,7523,11636,4113,0.0
MELTON,8373,11471,3098,0.0
MELBOURNE,24857,32840,7983,0.0
MAROONDAH,5793,6567,774,0.0
MARIBYRNONG,6908,9509,2601,0.0
MANNINGHAM,3352,4144,792,0.0
KNOX,7345,8265,920,0.0
HUME,14867,16427,1560,0.0
HOBSONS BAY,5366,5973,607,0.0
GREATER DANDENONG,13491,16171,2680,0.0
GLEN EIRA,5131,6519,1388,0.0
FRANKSTON,10919,12892,1973,0.0
DAREBIN,11477,13982,2505,0.0
CASEY,15176,20421,5245,0.0
CARDINIA,4675,6427,1752,0.0
BRIMBANK,14806,14119,-687,0.0
BOROONDARA,5908,7136,1228,0.0
BAYSIDE,3627,4382,755,0.0
BANYULE,6850,7590,740,0.0
